order_id,order_date,region,currency,amount
1000,2023-01-05,Europe,GBP,62.49
1001,2023-01-27,APAC,USD,341.81
1002,2023-01-02,APAC,USD,53.0
1003,2023-01-14,Europe,USD,231.78
1004,2023-02-02,APAC,USD,853.76
1005,2023-02-21,APAC,GBP,853.98
1006,2023-02-19,APAC,EUR,63.64
1007,2023-02-08,North America,GBP,775.45
1008,2023-02-10,Europe,USD,495.8
1009,2023-03-18,APAC,USD,110.69
1010,2023-03-19,APAC,USD,347.71
1011,2023-03-18,APAC,USD,516.64
1012,2023-03-20,North America,EUR,618.75
1013,2023-04-25,Europe,EUR,535.29
1014,2023-04-15,Europe,EUR,238.62
1015,2023-04-06,APAC,USD,92.03
1016,2023-04-10,APAC,EUR,790.12
1017,2023-04-24,Europe,EUR,555.88
1018,2023-05-04,APAC,EUR,165.17
1019,2023-05-11,North America,EUR,391.09
1020,2023-06-25,APAC,GBP,714.4
1021,2023-06-27,Europe,EUR,631.86
1022,2023-07-19,Europe,USD,759.17
1023,2023-07-09,Europe,GBP,604.45
1024,2023-07-02,APAC,GBP,292.45
1025,2023-07-19,APAC,EUR,270.44
1026,2023-07-13,APAC,EUR,39.86
1027,2023-08-12,North America,GBP,123.04
1028,2023-08-02,North America,EUR,133.82
1029,2023-08-08,Europe,EUR,826.8
1030,2023-08-16,North America,USD,415.28
1031,2023-08-18,Europe,USD,740.97
1032,2023-09-23,Europe,EUR,620.8
1033,2023-09-13,North America,USD,93.03
1034,2023-09-05,North America,GBP,225.34
1035,2023-09-16,APAC,USD,251.22
1036,2023-10-05,Europe,GBP,344.94
1037,2023-10-19,Europe,USD,627.63
1038,2023-11-15,APAC,GBP,365.29
1039,2023-11-13,Europe,USD,443.74
1040,2023-12-02,North America,USD,886.51
1041,2023-12-15,North America,USD,319.25
1042,2023-12-02,North America,USD,518.77
1043,2023-12-18,North America,EUR,560.09
1044,2023-12-03,North America,GBP,351.08
1045,2024-01-12,APAC,EUR,437.25
1046,2024-01-04,Europe,EUR,442.75
1047,2024-01-10,North America,USD,109.93
1048,2024-01-11,APAC,EUR,441.19
1049,2024-02-17,North America,USD,856.87
1050,2024-02-17,Europe,USD,627.26
1051,2024-02-01,APAC,EUR,881.08
1052,2024-03-23,Europe,GBP,342.7
1053,2024-03-06,Europe,USD,488.68
1054,2024-04-21,North America,GBP,734.13
1055,2024-04-25,North America,USD,740.13
1056,2024-04-24,North America,USD,475.52
1057,2024-04-12,APAC,USD,890.85
1058,2024-05-16,Europe,USD,629.42
1059,2024-05-12,Europe,GBP,889.47
1060,2024-05-12,North America,USD,109.9
1061,2024-05-16,North America,EUR,199.85
1062,2024-06-16,APAC,EUR,723.69
1063,2024-06-03,APAC,USD,820.6
1064,2024-07-16,North America,EUR,714.44
1065,2024-07-11,North America,GBP,368.34
1066,2024-07-13,APAC,USD,657.82
1067,2024-08-05,North America,USD,539.91
1068,2024-08-15,APAC,USD,558.18
1069,2024-08-20,Europe,GBP,844.97
1070,2024-09-18,APAC,USD,38.83
1071,2024-09-26,APAC,GBP,110.44
1072,2024-09-24,North America,EUR,888.16
1073,2024-10-27,North America,USD,241.61
1074,2024-10-10,APAC,USD,692.04
1075,2024-10-11,Europe,GBP,388.73
1076,2024-11-02,APAC,EUR,809.98
1077,2024-11-22,APAC,GBP,390.15
1078,2024-11-17,North America,GBP,153.62
1079,2024-12-28,Europe,USD,555.53
1080,2024-12-25,North America,USD,144.57
1081,2025-01-18,North America,EUR,620.45
1082,2025-01-17,APAC,EUR,710.16
1083,2025-02-18,North America,USD,188.35
1084,2025-02-02,North America,GBP,417.91
1085,2025-03-25,North America,EUR,306.54
1086,2025-03-17,APAC,GBP,195.47
1087,2025-04-15,APAC,GBP,730.48
1088,2025-04-17,North America,GBP,480.42
1089,2025-04-09,APAC,USD,759.2
1090,2025-04-05,Europe,USD,365.28
1091,2025-05-03,APAC,USD,396.94
1092,2025-05-07,APAC,EUR,709.86
1093,2025-05-25,North America,GBP,586.24
1094,2025-05-12,North America,EUR,796.89
1095,2025-06-08,APAC,USD,370.47
1096,2025-06-16,North America,GBP,752.55
1097,2025-06-06,APAC,EUR,894.78
1098,2025-06-13,Europe,EUR,192.26
1099,2025-06-11,North America,GBP,342.04
1100,2025-07-18,Europe,EUR,638.77
1101,2025-07-13,Europe,GBP,569.06
1102,2025-07-17,North America,USD,886.87
1103,2025-07-26,North America,USD,93.97
1104,2025-08-02,North America,EUR,685.08
1105,2025-08-27,Europe,GBP,740.7
1106,2025-08-09,Europe,USD,492.21
1107,2025-08-17,APAC,EUR,636.37
1108,2025-09-09,North America,GBP,181.34
1109,2025-09-03,Europe,USD,578.31
1110,2025-10-03,APAC,USD,78.63
1111,2025-10-28,North America,EUR,30.16
1112,2025-10-18,Europe,EUR,567.1
1113,2025-10-02,APAC,GBP,229.82
1114,2025-11-06,Europe,USD,179.41
1115,2025-11-10,APAC,EUR,487.36
1116,2025-12-10,Europe,GBP,611.5
1117,2025-12-09,Europe,USD,895.16
1118,2025-12-02,North America,USD,665.11
